Student_Name,College_Name,Stream,Year_of_Study,AI_Tools_Used,Daily_Usage_Hours,Use_Cases,Trust_in_AI_Tools,Impact_on_Grades,Do_Professors_Allow_Use,Preferred_AI_Tool,Awareness_Level,Willing_to_Pay_for_Access,State,Device_Used,Internet_Access
Aarav,Indian Institute of Information Technology ,Engineering,4,Gemini,0.9,"Assignments, Coding Help",2,2,No,Copilot,9,Yes,Uttar pradesh,Mobile,Poor
Vivaan,"Government Ram Bhajan Rai NES College, Jashpur ",Commerce,2,ChatGPT,3.4,Learning new topics,3,-3,Yes,Other,6,No,Chhattisgarh,Laptop,Poor
Aditya,Dolphin PG Institute of BioMedical & Natural ,Science,2,Copilot,3.6,"MCQ Practice, Projects",5,0,No,Gemini,1,No,Uttarakhand,Tablet,Poor
Vihaan,Shaheed Rajguru College of Applied Sciences for ,Arts,2,Copilot,2.9,Content Writing,5,2,Yes,Gemini,5,No,Delhi ncr,Laptop,High
Arjun,Roorkee College of Engineering ,Science,1,Gemini,0.9,"Doubt Solving, Resume Writing",1,3,Yes,Other,8,Yes,Uttarakhand,Laptop,Medium
Sai,Kanya Mahavidyalaya ,Commerce,2,Gemini,0.8,"Doubt Solving, Resume Writing",2,-2,Yes,Gemini,7,No,Punjab,Laptop,High
Reyansh,Shivalik Institute of Paramedical Technology ,Medical,1,"ChatGPT, Gemini, Copilot",2.2,"Assignments, Coding Help",1,-1,Yes,Other,2,No,Chandigarh,Mobile,Medium
Ayaan,"Alpha College of Engineering & Technology, Pondicherry ",Engineering,4,"ChatGPT, Copilot",2.4,"Exam Prep, Notes",2,-2,Yes,Copilot,5,Yes,Puducherry,Mobile,High
Krishna,"Jaipur Engineering College and Research Centre, Jaipur ",Engineering,4,"ChatGPT, Copilot",2.1,"MCQ Practice, Projects",2,-2,Yes,Copilot,8,Yes,Rajasthan,Laptop,Poor
Ishaan,"ICFAI University, Shillong ",Commerce,2,Gemini,1.4,Content Writing,3,-2,No,Gemini,3,Yes,Meghalaya,Laptop,High
Rudra,Kanchi Mamunivar Centre for Post Graduate Studies ,Arts,2,Copilot,1.0,Learning new topics,5,1,No,Copilot,10,Yes,Puducherry,Tablet,High
Dhruv,Jharkhand Rai University ,Medical,2,ChatGPT,1.2,"Exam Prep, Notes",4,-2,Yes,Other,7,Yes,Jharkhand,Laptop,Poor
Kabir,"Christ Church College -[CCC], Kanpur ",Arts,3,"ChatGPT, Gemini, Copilot",4.4,"Assignments, Coding Help",3,-3,Yes,Copilot,9,Yes,Uttar pradesh,Tablet,High
